time,trial_1_observed,trial_1_deterministic_pinn,trial_1_stochastic_pinn,trial_1_sde_mean,trial_1_sde_lower,trial_1_sde_upper,trial_1_sde_std,trial_2_observed,trial_2_deterministic_pinn,trial_2_stochastic_pinn,trial_2_sde_mean,trial_2_sde_lower,trial_2_sde_upper,trial_2_sde_std,trial_3_observed,trial_3_deterministic_pinn,trial_3_stochastic_pinn,trial_3_sde_mean,trial_3_sde_lower,trial_3_sde_upper,trial_3_sde_std,observed_mean,deterministic_pinn,stochastic_pinn_drift,sde_mean,sde_lower,sde_upper
0.0,14.0047,14.729862,14.567513,14.0047,14.0047,14.0047,0.0,14.86993,14.729862,14.567513,14.869933,14.86993,14.86993,0.0,14.1038,14.729862,14.567513,14.103805,14.1038,14.1038,0.0,14.326143333333334,14.729862,14.567513,14.326148,14.0047,14.86993
12.0,19.9268,19.619707,19.638224,18.55233,17.171005,19.93527,0.83835703,19.9892,19.619707,19.638224,19.587051,18.122507,21.033966,0.87909883,20.0374,19.619707,19.638224,18.646803,17.25906,20.031834,0.85521793,19.984466666666666,19.619707,19.638224,18.92873,17.368746,20.57844
24.0,25.0925,25.044851,25.284718,23.837612,21.443678,26.20932,1.446449,25.0898,25.044851,25.284718,25.0013,22.517868,27.48438,1.5059555,25.1699,25.044851,25.284718,23.928377,21.58938,26.408955,1.466563,25.1174,25.044851,25.284718,24.255764,21.770376,26.860003
36.0,34.3698,30.563652,31.012575,29.523394,26.134043,32.99633,2.0852659,35.0509,30.563652,31.012575,30.737856,27.404089,34.343292,2.1166465,34.4201,30.563652,31.012575,29.676481,26.353037,33.14217,2.0907865,34.6136,30.563652,31.012575,29.979242,26.469141,33.627926
48.0,38.3594,35.685856,36.280636,35.129745,30.837076,39.59713,2.6508307,38.5298,35.685856,36.280636,36.311195,32.035652,40.650127,2.6441839,38.5218,35.685856,36.280636,35.332832,31.078684,39.756073,2.6481774,38.470333333333336,35.685856,36.280636,35.59126,31.274889,40.058804
60.0,42.6658,40.06736,40.71851,40.135326,35.213474,45.347614,3.1049662,42.6928,40.06736,40.71851,41.17242,36.196743,46.302807,3.0795836,42.225,40.06736,40.71851,40.319725,35.341976,45.57954,3.1071947,42.52786666666666,40.06736,40.71851,40.542492,35.538586,45.770172
72.0,44.5579,43.55961,44.184418,44.21785,38.915226,49.831684,3.356117,44.4128,43.55961,44.184418,45.011925,39.630787,50.672577,3.4007673,44.0688,43.55961,44.184418,44.285446,38.907513,49.946037,3.3936,44.3465,43.55961,44.184418,44.505074,39.07151,50.18632
84.0,44.0392,46.193577,46.73742,47.172554,41.602207,53.1346,3.5037131,44.0392,46.193577,46.73742,47.67524,41.972557,53.511955,3.5392473,45.0712,46.193577,46.73742,47.23868,41.40378,53.322926,3.590954,44.383199999999995,46.193577,46.73742,47.36216,41.669968,53.341637
96.0,44.1627,48.10222,48.54204,49.109795,43.43761,55.26269,3.6591637,44.0824,48.10222,48.54204,49.415413,43.41492,55.6176,3.6979632,45.5136,48.10222,48.54204,49.150043,43.388786,55.455643,3.6793137,44.58623333333333,48.10222,48.54204,49.22508,43.41886,55.49189
108.0,45.6634,49.445774,49.779808,50.219486,44.261265,56.498795,3.7205784,46.7791,49.445774,49.779808,50.472824,44.622177,56.94994,3.7503448,46.1035,49.445774,49.779808,50.289852,44.504173,56.41407,3.6323533,46.181999999999995,49.445774,49.779808,50.327393,44.466637,56.630333
120.0,46.775,50.371178,50.614433,50.92885,44.99922,57.227215,3.726348,45.972,50.371178,50.614433,51.124283,45.010838,57.52991,3.711178,46.7671,50.371178,50.614433,51.005905,45.04776,57.267654,3.773411,46.50469999999999,50.371178,50.614433,51.019676,45.011414,57.37321
132.0,47.453,51.004833,51.173035,51.438496,45.400364,57.89735,3.7785895,45.5199,51.004833,51.173035,51.49786,45.5278,57.90301,3.6978724,47.2014,51.004833,51.173035,51.399086,45.353718,57.620148,3.7380652,46.724766666666675,51.004833,51.173035,51.44515,45.404682,57.778442
144.0,49.6635,51.43518,51.542343,51.599457,45.701756,57.92907,3.7406023,48.1488,51.43518,51.542343,51.699375,45.672455,57.888092,3.7351103,46.1078,51.43518,51.542343,51.64755,45.771477,57.873466,3.7504878,47.973366666666664,51.43518,51.542343,51.648796,45.709225,57.899445
156.0,47.5327,51.72745,51.78924,51.779785,45.788357,58.132133,3.7905374,50.2919,51.72745,51.78924,51.780846,45.786434,58.13086,3.7481425,49.2435,51.72745,51.78924,51.752502,45.716194,58.23885,3.8140829,49.02270000000001,51.72745,51.78924,51.771046,45.761036,58.148224
168.0,49.4766,51.930367,51.96085,51.886818,45.927284,58.09911,3.7714407,49.8283,51.930367,51.96085,51.785633,45.726055,58.07907,3.7568774,52.1632,51.930367,51.96085,51.924366,45.83755,58.101536,3.8201566,50.48936666666666,51.930367,51.96085,51.865604,45.831745,58.101055
