time,deterministic_pinn,stochastic_pinn_drift,sde_mean,sde_lower,sde_upper
0.0,14.729861,14.567513,14.326148,14.0047,14.86993
0.5618729,14.941487,14.786447,14.5413475,13.995182,15.290724
1.1237458,15.154994,15.007337,14.758154,14.102843,15.594722
1.6856188,15.370362,15.230181,14.97747,14.231644,15.878975
2.2474916,15.587579,15.45497,15.198801,14.381212,16.161362
2.8093646,15.806622,15.681691,15.423558,14.530265,16.4592
3.3712375,16.027464,15.910327,15.648928,14.68374,16.749521
3.9331105,16.250082,16.140854,15.873381,14.841342,17.02092
4.494983,16.47444,16.373243,16.103432,15.003928,17.30877
5.056856,16.700508,16.607475,16.331827,15.171553,17.600502
5.618729,16.928246,16.843504,16.564392,15.330615,17.902048
6.180602,17.157618,17.081305,16.797102,15.507019,18.184204
6.742475,17.38859,17.320837,17.031141,15.695933,18.47122
7.304348,17.621117,17.562056,17.267931,15.875816,18.769848
7.866221,17.855156,17.804926,17.507204,16.054321,19.046595
8.428094,18.090673,18.049402,17.74618,16.255047,19.339508
8.989966,18.327623,18.295439,17.988588,16.42366,19.666847
9.55184,18.565966,18.542995,18.239437,16.618994,19.96065
10.113712,18.805662,18.792023,18.48603,16.808325,20.281204
10.675586,19.046667,19.042479,18.7332,17.00257,20.573914
11.237458,19.288942,19.294313,18.97801,17.211132,20.85753
11.799331,19.53245,19.547487,19.229046,17.382824,21.168262
12.361204,19.777145,19.801954,19.479954,17.596119,21.499428
12.923077,20.022995,20.057661,19.733759,17.791134,21.790667
13.48495,20.269955,20.314571,19.983011,17.981453,22.081312
14.046823,20.517984,20.572638,20.235725,18.193598,22.398607
14.608696,20.767052,20.831812,20.492544,18.402645,22.69539
15.170568,21.017113,21.092052,20.747063,18.612411,23.013117
15.732442,21.26813,21.353313,21.004204,18.80994,23.321548
16.294313,21.520063,21.615547,21.262201,19.010162,23.649931
16.856188,21.772871,21.878712,21.521954,19.219007,23.946323
17.41806,22.026512,22.14276,21.782763,19.443678,24.273054
17.979933,22.280949,22.40764,22.043806,19.658161,24.596857
18.541805,22.536135,22.673311,22.30658,19.879328,24.89658
19.10368,22.79203,22.93972,22.573149,20.095589,25.222134
19.665552,23.048588,23.206821,22.837234,20.305973,25.553513
20.227425,23.305758,23.474558,23.104422,20.543703,25.872868
20.789297,23.563505,23.742884,23.371458,20.752327,26.194006
21.351171,23.821772,24.011744,23.633944,20.948568,26.497465
21.913044,24.080513,24.28108,23.899551,21.162603,26.827778
22.474916,24.339678,24.550838,24.16733,21.384844,27.122005
23.036789,24.599215,24.820965,24.436445,21.620007,27.459955
23.598661,24.859072,25.091396,24.706406,21.834284,27.794188
24.160536,25.119196,25.362076,24.978807,22.061432,28.128359
24.722408,25.37953,25.63294,25.250488,22.258148,28.460123
25.28428,25.640024,25.903929,25.518404,22.482166,28.766397
25.846153,25.90062,26.17498,25.782238,22.674313,29.090687
26.408028,26.161263,26.446032,26.05055,22.91587,29.410515
26.9699,26.421896,26.717018,26.320217,23.15967,29.74775
27.531773,26.682465,26.987877,26.58883,23.37804,30.083635
28.093645,26.942907,27.258545,26.852526,23.586845,30.35631
28.655518,27.203175,27.52896,27.117716,23.829105,30.666016
