time,trial_1_observed,trial_1_ode_fitted,trial_1_sde_mean,trial_1_sde_lower,trial_1_sde_upper,trial_1_sde_std,trial_1_classical_logistic_fitted,trial_2_observed,trial_2_ode_fitted,trial_2_sde_mean,trial_2_sde_lower,trial_2_sde_upper,trial_2_sde_std,trial_2_classical_logistic_fitted,trial_3_observed,trial_3_ode_fitted,trial_3_sde_mean,trial_3_sde_lower,trial_3_sde_upper,trial_3_sde_std,trial_3_classical_logistic_fitted,observed_mean,ode_fitted,ode_fitted_mean,sde_mean,classical_logistic_fitted_mean,sde_lower,sde_upper
0,14.0047,14.326143,14.004696,14.0047,14.0047,0.0,14.0047,14.86993,14.326143,14.86993,14.86993,14.86993,0.0,14.86993,14.1038,14.326143,14.103806,14.1038,14.1038,0.0,14.103801,14.326143333333334,14.326143,14.326143,14.326145,14.326144,14.0047,14.86993
12,19.9268,20.678461,19.358715,18.688509,20.009514,0.39594284,19.990345,19.9892,20.678461,20.225767,19.639961,20.836985,0.3642545,20.996038,20.0374,20.678461,19.491636,18.868113,20.157372,0.40046436,20.106646,19.984466666666666,20.678461,20.678461,19.692036,20.364342,18.8708,20.645298
24,25.0925,27.003565,24.713146,23.929214,25.539972,0.49262938,26.529568,25.0898,27.003565,25.590164,24.877756,26.370155,0.46315646,27.539165,25.1699,27.003565,24.851318,24.121208,25.646358,0.46463823,26.64754,25.1174,27.003565,27.003565,25.05154,26.905424,24.109493,26.098753
36,34.3698,33.20074,29.92807,24.458878,35.59064,3.378671,32.6982,35.0509,33.20074,30.976328,25.227493,37.01303,3.6735873,33.573067,34.4201,33.20074,30.188745,24.56794,35.831623,3.393911,32.801422,34.6136,33.20074,33.20074,30.36438,33.02423,24.70934,36.188198
48,38.3594,38.663193,34.74124,23.970623,42.59608,5.654961,37.76195,38.5298,38.663193,35.532078,23.62268,42.60163,5.6427217,38.42891,38.5218,38.663193,35.028202,23.248085,42.66355,5.6862016,37.84126,38.470333333333336,38.663193,38.663193,35.100506,38.010708,23.426836,42.617336
60,42.6658,42.018578,38.5479,25.21824,43.918404,5.947503,41.46528,42.6928,42.018578,39.300747,25.244076,43.96696,5.7758517,41.92608,42.225,42.018578,38.943676,26.592907,43.55394,5.5532885,41.520386,42.52786666666666,42.018578,42.018578,38.930775,41.63725,25.45224,43.841507
72,44.5579,43.63412,41.45403,30.286732,44.75399,5.3290434,43.951077,44.4128,43.63412,41.78709,28.660183,44.70727,5.4366665,44.248363,44.0688,43.63412,41.65424,32.924026,44.719704,5.3655076,43.986763,44.3465,43.63412,43.63412,41.631786,44.06207,30.630974,44.73185
84,44.0392,44.5966,43.080578,37.375774,45.50349,4.840413,45.52503,44.0392,44.5966,43.189827,38.077927,45.382652,5.183916,45.708473,45.0712,44.5966,43.21342,37.50724,45.457607,4.6113234,45.5471,44.383199999999995,44.5966,44.5966,43.161274,45.593536,37.544506,45.4591
96,44.1627,45.35725,44.207703,40.740734,46.10389,4.403967,46.48508,44.0824,45.35725,44.034832,41.033573,46.07238,4.952511,46.595203,45.5136,45.35725,44.145454,40.986855,46.111504,4.0392284,46.498352,44.58623333333333,45.35725,45.35725,44.12933,46.526215,40.941994,46.10211
108,45.6634,46.061497,44.92285,41.821186,46.762115,3.93598,47.057392,46.7791,46.061497,44.766304,41.696033,46.784294,4.7913313,47.12241,46.1035,46.061497,44.894535,41.606262,46.775295,3.692787,47.06523,46.181999999999995,46.061497,46.061497,44.861233,47.081676,41.728767,46.77677
120,46.775,46.7554,45.589363,41.822834,47.620842,3.732672,47.393898,45.972,46.7554,45.44781,41.971806,47.65796,4.8985157,47.43191,46.7671,46.7554,45.644413,42.134937,47.816616,3.7104197,47.398487,46.50469999999999,46.7554,46.7554,45.560528,47.408096,41.97445,47.69527
132,47.453,47.453888,46.399685,42.99687,48.75245,3.2703855,47.590164,45.5199,47.453888,46.181355,42.59361,48.73903,4.572798,47.612267,47.2014,47.453888,46.266754,42.97021,48.76386,3.8715308,47.592834,46.724766666666675,47.453888,47.453888,46.282597,47.59842,42.802708,48.75243
144,49.6635,48.16174,47.55625,44.531734,50.18068,3.0996864,47.704094,48.1488,48.16174,47.31152,44.341316,50.09125,4.520158,47.716896,46.1078,48.16174,47.366104,44.058365,50.08938,3.974498,47.705643,47.973366666666664,48.16174,48.16174,47.411293,47.708878,44.2533,50.13403
156,47.5327,48.880302,49.17063,45.983513,51.585796,3.221734,47.77005,50.2919,48.880302,49.012268,45.850464,51.614136,4.1331415,47.777454,49.2435,48.880302,49.019318,45.640575,51.533386,3.570829,47.770943,49.02270000000001,48.880302,48.880302,49.067406,47.772816,45.827362,51.584465
168,49.4766,49.609722,50.283493,48.64174,52.462116,2.8883371,47.80817,49.8283,49.609722,50.17612,48.284866,52.674164,3.7904856,47.812447,52.1632,49.609722,50.13466,48.14119,52.435116,3.2791836,47.80869,50.48936666666666,49.609722,49.609722,50.19809,47.80977,48.370255,52.517067
